action,credits,requested,unique,missing,pages,note,file,request_id
mixed_companies_search,3,,,,3,already-sourced Apollo account list ScaleLab — Staffing — Already Sourced,,
people_bulk_match,10,10,10,0,,,/home/ubuntu/.cursor/projects/workspace/agent-tools/b4b07ab5-2764-4902-a353-5161693b11e9.txt,6601217738948210836
people_bulk_match,10,10,10,0,,,/home/ubuntu/.cursor/projects/workspace/agent-tools/e2bce908-4d10-498f-bef4-8fd4a80f58e5.txt,6258283428846167307
people_bulk_match,10,10,10,0,,,/home/ubuntu/.cursor/projects/workspace/agent-tools/42f68618-24af-4315-a70d-cf981b9333d8.txt,2919926514942687153
people_bulk_match,7,7,7,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk4-7.json,-320190891839207567
people_bulk_match,10,10,10,0,,,/home/ubuntu/.cursor/projects/workspace/agent-tools/a9c262c4-63ad-4efc-a71a-d583fd1d7101.txt,-6396431879291624469
people_bulk_match,8,8,8,0,,,/home/ubuntu/.cursor/projects/workspace/agent-tools/93315675-4c47-4f60-a138-8ff58d7f4de1.txt,-4232536539449718459
people_bulk_match,8,8,8,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk7-8.json,7534431843004911173
people_bulk_match,10,10,10,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk8-10.json,3208456923795158787
people_bulk_match,10,10,10,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk9-10.json,-5338390397549166507
people_bulk_match,10,10,10,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk10-10.json,4628264913213014386
people_bulk_match,10,10,10,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk11-10.json,5139094791809251695
people_bulk_match,8,8,8,0,,,/tmp/staffing-batch3/staffing-sourcing/batch3/reveals/bulk12-8.json,8060186785235711339
people_bulk_match,10,10,10,0,,,reveals/bulk13-10.json,-7847313716080479002
people_bulk_match,10,10,10,0,,,reveals/bulk14-10.json,-8344847451867451123
people_bulk_match,10,10,10,0,,,reveals/bulk15-10.json,3915731766298142668
people_bulk_match,10,10,10,0,,,reveals/bulk16-10.json,8895678724784543925
people_bulk_match,10,10,10,0,,,reveals/bulk17-10.json,3769857670362582496
people_bulk_match,10,10,10,0,,,reveals/bulk18-10.json,5028058675696502725
people_bulk_match,10,10,10,0,,,reveals/bulk19-10.json,4490730735652479082
people_bulk_match,10,10,10,0,,,reveals/bulk20-10.json,-4940085366834921615
people_bulk_match,10,10,10,0,,,reveals/bulk21-10.json,4352362917168526499
people_bulk_match,10,10,10,0,,,reveals/bulk22-10.json,-4675940660251669167
people_bulk_match,10,10,10,0,,,reveals/bulk23-10.json,7052541575356488639
people_bulk_match,10,10,10,0,,,reveals/bulk24-10.json,6968578694466636069
people_bulk_match,10,10,10,0,,,reveals/bulk25-10.json,7259419255262986048
people_bulk_match,10,10,10,0,,,reveals/bulk26-10.json,253445216193080507
people_bulk_match,10,10,10,0,,,reveals/bulk27-10.json,-1807341521510010682
people_bulk_match,10,10,10,0,,,reveals/bulk28-10.json,-7328626181418902582
people_bulk_match,10,10,10,0,,,reveals/bulk29-10.json,4710936754784360808
people_bulk_match,9,9,9,0,,,reveals/bulk30-9.json,-7244344813272353987
people_bulk_match,10,10,10,0,,,reveals/bulk31-10.json,-7895327943769079803
people_bulk_match,7,7,7,0,,,reveals/bulk32-7.json,6489838413546909010
